Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,THAILAND,29.7,17.82,30,0
C2B,Airlines,Online,Silver Plan,21,SINGAPORE,72.0,18.0,37,0
EPX,Travel Agency,Online,Cancellation Plan,43,JAPAN,53.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,22,INDONESIA,10.0,0.0,23,0
EPX,Travel Agency,Online,Cancellation Plan,71,MALAYSIA,10.0,0.0,58,0
EPX,Travel Agency,Online,Cancellation Plan,3,PHILIPPINES,12.0,0.0,26,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,140,THAILAND,27.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,75,ITALY,102.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,159,THAILAND,20.0,0.0,31,0
JZI,Airlines,Online,Other_Product,49,AUSTRALIA,147.0,51.45,55,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,63,THAILAND,20.0,0.0,32,0
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,39.0,9.75,29,0
TST,Travel Agency,Offline,Other_Product,78,MALAYSIA,30.0,10.5,33,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,23,"KOREA, REPUBLIC OF",19.8,11.88,38,0
C2B,Airlines,Online,Silver Plan,17,SINGAPORE,29.5,7.38,34,0
C2B,Airlines,Online,Other_Product,19,SINGAPORE,33.5,8.38,32,0
EPX,Travel Agency,Online,Cancellation Plan,133,JAPAN,49.0,0.0,35,0
JZI,Airlines,Online,Other_Product,90,Other_Destination,109.0,38.15,30,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,4,Other_Destination,29.7,17.82,31,0
EPX,Travel Agency,Online,Cancellation Plan,6,THAILAND,32.0,0.0,23,0
JZI,Airlines,Online,Basic Plan,7,MALAYSIA,18.0,6.3,73,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,24,UNITED KINGDOM,19.8,11.88,34,0
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,26.5,6.63,41,0
EPX,Travel Agency,Online,Cancellation Plan,78,VIET NAM,17.0,0.0,58,0
EPX,Travel Agency,Online,Cancellation Plan,9,THAILAND,10.0,0.0,20,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,19,THAILAND,46.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,3,CHINA,32.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,106,INDONESIA,17.0,0.0,40,0
EPX,Travel Agency,Online,Cancellation Plan,9,MALAYSIA,24.0,0.0,45,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,6,SINGAPORE,42.0,0.0,29,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,34,THAILAND,28.0,0.0,36,0
JZI,Airlines,Online,Other_Product,15,Other_Destination,109.0,38.15,45,0
EPX,Travel Agency,Online,Cancellation Plan,126,Other_Destination,44.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,38,SINGAPORE,41.0,0.0,36,0
C2B,Airlines,Online,Silver Plan,32,SINGAPORE,25.0,6.25,26,0
EPX,Travel Agency,Online,Cancellation Plan,10,VIET NAM,10.0,0.0,62,0
EPX,Travel Agency,Online,Other_Product,21,INDONESIA,20.0,0.0,21,0
LWC,Travel Agency,Online,Other_Product,5,"KOREA, REPUBLIC OF",44.0,28.6,37,0
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,11.5,2.88,31,0
EPX,Travel Agency,Online,Cancellation Plan,7,THAILAND,15.0,0.0,24,0
EPX,Travel Agency,Online,Cancellation Plan,16,HONG KONG,16.0,0.0,33,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,HONG KONG,34.0,0.0,36,0
CBH,Travel Agency,Offline,Other_Product,20,THAILAND,29.0,9.57,75,0
EPX,Travel Agency,Online,Cancellation Plan,51,JAPAN,15.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,33,THAILAND,42.0,14.7,35,0
EPX,Travel Agency,Online,Cancellation Plan,4,SINGAPORE,18.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,33,UNITED STATES,84.0,0.0,25,0
KML,Travel Agency,Online,Other_Product,95,Other_Destination,75.0,28.5,48,0
EPX,Travel Agency,Online,Cancellation Plan,58,MALAYSIA,10.0,0.0,28,0
EPX,Travel Agency,Online,Cancellation Plan,24,THAILAND,12.0,0.0,52,0
TST,Travel Agency,Offline,Other_Product,15,THAILAND,30.0,10.5,61,0
JZI,Airlines,Online,Basic Plan,3,MALAYSIA,18.0,6.3,53,0
EPX,Travel Agency,Online,Cancellation Plan,31,Other_Destination,10.0,0.0,27,0
EPX,Travel Agency,Online,Cancellation Plan,41,INDONESIA,11.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,12,Other_Destination,22.0,7.7,23,0
JZI,Airlines,Online,Basic Plan,7,THAILAND,22.0,7.7,47,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,107,JAPAN,94.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,43,MALAYSIA,21.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,29,Other_Destination,52.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,38,MALAYSIA,20.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,11,SINGAPORE,24.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,JAPAN,20.0,0.0,39,0
EPX,Travel Agency,Online,Cancellation Plan,31,SINGAPORE,48.0,0.0,21,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,26,VIET NAM,20.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,AUSTRALIA,39.6,23.76,47,0
EPX,Travel Agency,Online,Cancellation Plan,2,CHINA,20.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,14.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,78,Other_Destination,46.0,0.0,36,0
EPX,Travel Agency,Online,Other_Product,9,UNITED STATES,20.0,0.0,28,0
JZI,Airlines,Online,Basic Plan,33,PHILIPPINES,33.0,11.55,34,0
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,17.0,4.25,56,0
EPX,Travel Agency,Online,Cancellation Plan,11,UNITED STATES,80.0,0.0,42,0
C2B,Airlines,Online,Bronze Plan,27,SINGAPORE,39.0,9.75,39,0
KML,Travel Agency,Online,Other_Product,12,INDONESIA,48.0,18.24,48,0
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,28.5,7.13,36,0
SSI,Airlines,Online,Other_Product,73,SINGAPORE,16.2,4.54,48,0
EPX,Travel Agency,Online,Cancellation Plan,12,PHILIPPINES,10.0,0.0,41,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,AUSTRALIA,49.5,29.7,50,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,82,THAILAND,59.4,35.64,31,0
JZI,Airlines,Online,Basic Plan,2,MALAYSIA,18.0,6.3,53,0
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,20.0,5.0,30,0
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,22.5,5.63,57,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,35,Other_Destination,49.5,29.7,56,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,MALAYSIA,9.9,5.94,54,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,34,AUSTRALIA,62.0,0.0,36,0
JZI,Airlines,Online,Other_Product,19,THAILAND,39.0,13.65,51,0
EPX,Travel Agency,Online,Other_Product,40,SINGAPORE,31.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,Other_Destination,39.6,23.76,31,0
CCR,Travel Agency,Offline,Other_Product,142,THAILAND,29.0,9.57,56,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,40,JAPAN,38.0,0.0,68,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,THAILAND,22.0,0.0,47,0
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,18.5,4.63,30,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,41,Other_Destination,34.0,0.0,35,0
EPX,Travel Agency,Online,Other_Product,14,HONG KONG,24.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,21,AUSTRALIA,29.7,17.82,28,0
C2B,Airlines,Online,Silver Plan,20,SINGAPORE,72.0,18.0,57,0
JZI,Airlines,Online,Other_Product,21,CHINA,83.0,29.05,34,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,89,AUSTRALIA,30.0,0.0,36,0
SSI,Airlines,Online,Other_Product,36,SINGAPORE,1.13,0.32,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,26,MALAYSIA,59.4,35.64,66,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,12,PHILIPPINES,37.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,61,UNITED STATES,10.0,0.0,30,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,44,Other_Destination,89.1,53.46,50,0
SSI,Airlines,Online,Other_Product,122,SINGAPORE,7.09,1.99,48,0
EPX,Travel Agency,Online,Other_Product,45,SINGAPORE,20.0,0.0,29,0
RAB,Airlines,Online,Other_Product,139,Other_Destination,23.0,9.2,33,0
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,17.55,4.39,24,0
EPX,Travel Agency,Online,Cancellation Plan,72,PHILIPPINES,11.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,46,AUSTRALIA,53.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,55,CHINA,34.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,41,UNITED STATES,80.0,0.0,52,0
EPX,Travel Agency,Online,Cancellation Plan,16,HONG KONG,12.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,10.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,20.25,5.06,49,0
JZI,Airlines,Online,Basic Plan,30,CHINA,44.0,15.4,52,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,3,VIET NAM,20.0,0.0,36,0
JZI,Airlines,Online,Other_Product,182,UNITED STATES,138.0,48.3,40,0
JZI,Airlines,Online,Basic Plan,14,Other_Destination,30.0,10.5,21,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,56,AUSTRALIA,59.4,35.64,30,0
EPX,Travel Agency,Online,Cancellation Plan,5,Other_Destination,38.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,34.5,8.63,24,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,51,AUSTRALIA,58.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,5,Other_Destination,11.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,27,HONG KONG,39.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,10,CHINA,86.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,MALAYSIA,39.6,23.76,46,0
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,17.0,4.25,29,0
EPX,Travel Agency,Online,Cancellation Plan,96,THAILAND,18.0,0.0,23,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,28,UNITED KINGDOM,65.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,56,SINGAPORE,72.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,10,CHINA,24.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,16,UNITED KINGDOM,65.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,84,Other_Destination,29.7,17.82,44,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,MALAYSIA,29.7,17.82,26,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,36,MALAYSIA,20.0,0.0,34,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,17,VIET NAM,20.0,0.0,47,0
KML,Travel Agency,Online,Other_Product,57,INDONESIA,38.0,14.44,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,14,MALAYSIA,22.0,0.0,36,0
EPX,Travel Agency,Online,Other_Product,20,UNITED KINGDOM,67.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,25,UNITED STATES,22.0,0.0,34,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,122,Other_Destination,54.0,0.0,36,0
TTW,Travel Agency,Offline,Other_Product,364,SINGAPORE,97.0,0.0,33,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19,AUSTRALIA,59.4,35.64,41,0
JZI,Airlines,Online,Basic Plan,2,INDONESIA,18.0,6.3,39,0
EPX,Travel Agency,Online,Other_Product,1,THAILAND,20.0,0.0,40,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,3,"KOREA, REPUBLIC OF",29.7,17.82,26,0
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,39,0
JZI,Airlines,Online,Basic Plan,5,INDONESIA,22.0,7.7,54,0
C2B,Airlines,Online,Silver Plan,15,SINGAPORE,62.0,15.5,60,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,6,INDONESIA,32.0,0.0,26,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,26,CHINA,31.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,20,MALAYSIA,20.0,0.0,26,0
EPX,Travel Agency,Online,Cancellation Plan,7,THAILAND,46.0,0.0,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,21,PHILIPPINES,24.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,19,"KOREA, REPUBLIC OF",112.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,MALAYSIA,39.6,23.76,31,0
EPX,Travel Agency,Online,Cancellation Plan,101,Other_Destination,26.0,0.0,36,0
CBH,Travel Agency,Offline,Other_Product,40,MALAYSIA,29.0,9.57,43,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,10,HONG KONG,30.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,55,"KOREA, REPUBLIC OF",43.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,217,Other_Destination,39.6,23.76,66,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,9,HONG KONG,24.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,5,Other_Destination,26.0,9.1,54,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,18,Other_Destination,49.5,29.7,57,0
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,25.9,6.47,42,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,HONG KONG,21.0,0.0,38,0
EPX,Travel Agency,Online,Cancellation Plan,56,SINGAPORE,80.0,0.0,46,0
JZI,Airlines,Online,Basic Plan,28,MALAYSIA,18.0,6.3,72,0
EPX,Travel Agency,Online,Cancellation Plan,138,Other_Destination,48.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29,UNITED KINGDOM,29.7,17.82,45,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,THAILAND,39.6,23.76,27,0
EPX,Travel Agency,Online,Cancellation Plan,10,Other_Destination,13.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,28,THAILAND,20.0,0.0,36,0
LWC,Travel Agency,Online,Other_Product,15,UNITED STATES,67.0,43.55,65,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,THAILAND,19.8,11.88,36,0
JZI,Airlines,Online,Basic Plan,11,CHINA,26.0,9.1,43,0
EPX,Travel Agency,Online,Cancellation Plan,21,CHINA,24.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,15,CHINA,22.0,7.7,38,0
EPX,Travel Agency,Online,Cancellation Plan,147,CHINA,0.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,25,JAPAN,48.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,28,MALAYSIA,20.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,26,UNITED KINGDOM,69.3,41.58,31,0
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,14.95,3.74,34,0
EPX,Travel Agency,Online,Cancellation Plan,43,Other_Destination,114.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,17.25,4.31,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,22,INDONESIA,28.0,0.0,36,0
SSI,Airlines,Online,Other_Product,38,SINGAPORE,6.56,1.84,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,22,ITALY,118.8,71.28,33,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,66,CHINA,30.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,10,VIET NAM,21.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,43,THAILAND,12.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,37,THAILAND,21.0,0.0,35,0
RAB,Airlines,Online,Other_Product,41,Other_Destination,23.0,9.2,21,0
EPX,Travel Agency,Online,Cancellation Plan,43,Other_Destination,18.0,0.0,34,0
EPX,Travel Agency,Online,Cancellation Plan,44,SINGAPORE,10.0,0.0,38,0
EPX,Travel Agency,Online,Cancellation Plan,49,THAILAND,10.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,28,UNITED KINGDOM,75.0,0.0,36,0
EPX,Travel Agency,Online,Other_Product,14,PHILIPPINES,20.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,17.55,4.39,66,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,235,PHILIPPINES,65.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,15,PHILIPPINES,20.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,21,UNITED KINGDOM,79.2,47.52,63,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,116,PHILIPPINES,30.0,0.0,39,0
EPX,Travel Agency,Online,Cancellation Plan,10,MALAYSIA,10.0,0.0,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,90,MALAYSIA,20.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,12,HONG KONG,28.0,0.0,36,0
SSI,Airlines,Online,Other_Product,29,SINGAPORE,12.35,3.46,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,31,AUSTRALIA,69.3,41.58,33,0
C2B,Airlines,Online,Silver Plan,16,SINGAPORE,18.5,4.63,20,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,71,Other_Destination,49.5,29.7,28,0
JZI,Airlines,Online,Basic Plan,32,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,67,0
JZI,Airlines,Online,Other_Product,11,CHINA,45.0,15.75,45,0
EPX,Travel Agency,Online,Cancellation Plan,9,Other_Destination,39.0,0.0,35,0
JZI,Airlines,Online,Basic Plan,116,HONG KONG,26.0,9.1,59,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,3,Other_Destination,39.6,23.76,48,0
C2B,Airlines,Online,Silver Plan,86,SINGAPORE,109.0,27.25,47,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,73,MALAYSIA,39.0,0.0,52,0
EPX,Travel Agency,Online,Cancellation Plan,54,PHILIPPINES,10.0,0.0,30,0
EPX,Travel Agency,Online,Cancellation Plan,23,MALAYSIA,16.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,63,Other_Destination,26.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,37,"TAIWAN, PROVINCE OF CHINA",15.0,0.0,30,0
JZI,Airlines,Online,Basic Plan,19,MALAYSIA,22.0,7.7,52,0
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,13.5,3.38,57,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,4,CHINA,54.0,0.0,35,0
EPX,Travel Agency,Online,Other_Product,6,THAILAND,20.0,0.0,36,0
EPX,Travel Agency,Online,Other_Product,1,UNITED STATES,26.0,0.0,26,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,9,MALAYSIA,20.0,0.0,40,0
JZI,Airlines,Online,Basic Plan,8,VIET NAM,18.0,6.3,51,0
JZI,Airlines,Online,Other_Product,44,AUSTRALIA,36.0,12.6,20,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,74,PHILIPPINES,20.0,0.0,38,0
EPX,Travel Agency,Online,Cancellation Plan,12,UNITED STATES,80.0,0.0,48,0
EPX,Travel Agency,Online,Other_Product,11,Other_Destination,24.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,115,HONG KONG,20.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,7,Other_Destination,23.0,0.0,52,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19,MALAYSIA,19.8,11.88,36,0
EPX,Travel Agency,Online,Cancellation Plan,8,HONG KONG,10.0,0.0,67,0
EPX,Travel Agency,Online,Other_Product,81,SINGAPORE,20.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,78,Other_Destination,10.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,8,THAILAND,10.0,0.0,64,0
EPX,Travel Agency,Online,Other_Product,25,CHINA,20.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,36.0,9.0,30,0
EPX,Travel Agency,Online,Cancellation Plan,14,THAILAND,14.0,0.0,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,98,Other_Destination,34.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,12,UNITED STATES,10.0,0.0,19,0
TST,Travel Agency,Offline,Other_Product,58,THAILAND,30.0,10.5,56,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,ITALY,99.0,59.4,51,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,UNITED STATES,49.5,29.7,53,0
EPX,Travel Agency,Online,Cancellation Plan,8,INDONESIA,34.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,5,CHINA,26.0,9.1,36,0
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,23.0,5.75,23,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,40,CHINA,41.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,36,INDONESIA,27.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,16,CHINA,26.0,9.1,55,0
EPX,Travel Agency,Online,Cancellation Plan,25,PHILIPPINES,13.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,14,CHINA,40.0,14.0,26,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,9,UNITED STATES,47.0,0.0,47,0
TTW,Travel Agency,Offline,Other_Product,365,SINGAPORE,97.0,0.0,51,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,226,INDONESIA,20.0,0.0,46,0
SSI,Airlines,Online,Other_Product,59,SINGAPORE,2.33,0.65,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,95,THAILAND,20.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,4,Other_Destination,32.0,0.0,35,0
EPX,Travel Agency,Online,Cancellation Plan,12,THAILAND,15.0,0.0,40,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,UNITED STATES,69.3,41.58,43,0
LWC,Travel Agency,Online,Other_Product,29,Other_Destination,81.0,52.65,28,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,19,VIET NAM,20.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,46,CHINA,35.0,12.25,52,0
C2B,Airlines,Online,Silver Plan,79,SINGAPORE,63.5,15.88,29,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,103,"KOREA, REPUBLIC OF",65.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,32,SINGAPORE,44.85,11.21,27,0
EPX,Travel Agency,Online,Other_Product,1,UNITED STATES,28.0,0.0,45,0
EPX,Travel Agency,Online,Cancellation Plan,4,Other_Destination,0.0,0.0,36,0
ART,Airlines,Online,Other_Product,25,CHINA,51.0,17.85,55,0
C2B,Airlines,Online,Annual Silver Plan,382,SINGAPORE,216.0,54.0,31,0
EPX,Travel Agency,Online,Cancellation Plan,27,VIET NAM,28.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,AUSTRALIA,79.2,47.52,57,0
EPX,Travel Agency,Online,Cancellation Plan,2,"KOREA, REPUBLIC OF",38.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,62,JAPAN,47.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,7,THAILAND,17.0,0.0,65,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,3,INDONESIA,43.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,6,HONG KONG,74.0,0.0,26,0
EPX,Travel Agency,Online,Cancellation Plan,67,UNITED STATES,30.0,0.0,61,0
EPX,Travel Agency,Online,Other_Product,65,SINGAPORE,66.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,30,Other_Destination,9.9,5.94,51,0
EPX,Travel Agency,Online,Cancellation Plan,9,PHILIPPINES,21.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,56,THAILAND,30.0,0.0,28,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,35,Other_Destination,99.0,59.4,31,0
C2B,Airlines,Online,Silver Plan,35,SINGAPORE,78.5,19.63,16,0
C2B,Airlines,Online,Silver Plan,44,SINGAPORE,22.5,5.63,25,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,65,AUSTRALIA,69.3,41.58,50,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,22,HONG KONG,86.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,43,THAILAND,41.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,61,PHILIPPINES,15.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,51,SINGAPORE,56.5,14.13,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,22,THAILAND,20.0,0.0,49,0
EPX,Travel Agency,Online,Cancellation Plan,135,UNITED KINGDOM,62.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,10,CHINA,80.0,0.0,64,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,20,ITALY,83.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,19,INDONESIA,25.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,14,CHINA,34.0,0.0,36,0
C2B,Airlines,Online,Other_Product,13,SINGAPORE,99.45,24.86,30,0
JZI,Airlines,Online,Basic Plan,5,INDONESIA,18.0,6.3,27,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,37,UNITED STATES,69.3,41.58,61,0
EPX,Travel Agency,Online,Cancellation Plan,69,Other_Destination,80.0,0.0,24,0
EPX,Travel Agency,Online,Cancellation Plan,11,CHINA,80.0,0.0,36,0
EPX,Travel Agency,Online,Other_Product,1,THAILAND,20.0,0.0,43,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,56,JAPAN,50.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,38,Other_Destination,82.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,17,PHILIPPINES,33.0,11.55,38,0
